Quotes,Author
"<div class=""author-quotes"">“To love and be loved is to feel the sun from both sides.” <span class=""quote-author-name""><span class=""quote-author-name"">– David Viscott<br/>
</span></span><p></p>
<div class=""bc050a93e032cc7b8628c9c1fdcf66d1"" data-index=""2"" style=""float: none; margin:5px 0 5px 0; text-align:center;"">
<span id=""ezoic-pub-ad-placeholder-104""></span>
</div>
<div class=""wp-caption aligncenter"" id=""attachment_8810"" style=""width: 632px""><a href=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-13-min.jpg""><img alt=""Famous Joe Namath quote and a man walking on a bridge in a canyon"" aria-describedby=""caption-attachment-8810"" class=""lazy lazy-hidden wp-image-8810 size-large"" data-lazy-type=""image"" data-src=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-13-min-1024x770.jpg"" data-srcset=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-13-min-1024x770.jpg 1024w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-13-min-300x226.jpg 300w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-13-min-768x578.jpg 768w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-13-min-622x468.jpg 622w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-13-min.jpg 2048w"" height=""468"" loading=""lazy"" sizes=""(max-width: 622px) 100vw, 622px"" src=""//www.keepinspiring.me/wp-content/plugins/a3-lazy-load/assets/images/lazy_placeholder.gif"" srcset="""" width=""622""/><noscript><img alt=""Famous Joe Namath quote and a man walking on a bridge in a canyon"" aria-describedby=""caption-attachment-8810"" class=""wp-image-8810 size-large"" height=""468"" loading=""lazy"" sizes=""(max-width: 622px) 100vw, 622px"" src=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-13-min-1024x770.jpg"" srcset=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-13-min-1024x770.jpg 1024w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-13-min-300x226.jpg 300w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-13-min-768x578.jpg 768w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-13-min-622x468.jpg 622w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-13-min.jpg 2048w"" width=""622""/></noscript></a><p class=""wp-caption-text"" id=""caption-attachment-8810""><strong>“If you aren’t going all the way, why go at all?” – Joe Namath</strong></p></div>
</div>","<span class=""quote-author-name""><span class=""quote-author-name"">– David Viscott<br/>
</span></span>"
"<div class=""author-quotes"">“Love is an irresistible desire to be irresistibly desired.” <span class=""quote-author-name"">– Robert Frost</span></div>","<span class=""quote-author-name"">– Robert Frost</span>"
"<div class=""author-quotes"">“Those who believe in telekinetics, raise my hand.” <span class=""quote-author-name"">– Kurt Vonnegut</span></div>","<span class=""quote-author-name"">– Kurt Vonnegut</span>"
"<div class=""author-quotes"">“I only regret that I have but one life to give for my country.” <span class=""quote-author-name"">– Nathan Hale</span></div>","<span class=""quote-author-name"">– Nathan Hale</span>"
"<div class=""author-quotes"">“The person who reads too much and uses his brain too little will fall into lazy habits of thinking.” <span class=""quote-author-name"">– Albert Einstein</span></div>","<span class=""quote-author-name"">– Albert Einstein</span>"
"<div class=""author-quotes"">“Better to have loved and lost, than to have never loved at all.” <span class=""quote-author-name"">– St. Augustine</span></div>","<span class=""quote-author-name"">– St. Augustine</span>"
"<div class=""author-quotes"">
<div class=""wp-caption aligncenter"" id=""attachment_8811"" style=""width: 632px""><a href=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-14-min.jpg""><img alt=""Two men laughing on a bench in the back of a coffee shop in Portland"" aria-describedby=""caption-attachment-8811"" class=""lazy lazy-hidden wp-image-8811 size-large"" data-lazy-type=""image"" data-src=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-14-min-1024x770.jpg"" data-srcset=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-14-min-1024x770.jpg 1024w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-14-min-300x226.jpg 300w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-14-min-768x578.jpg 768w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-14-min-622x468.jpg 622w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-14-min.jpg 2048w"" height=""468"" loading=""lazy"" sizes=""(max-width: 622px) 100vw, 622px"" src=""//www.keepinspiring.me/wp-content/plugins/a3-lazy-load/assets/images/lazy_placeholder.gif"" srcset="""" width=""622""/><noscript><img alt=""Two men laughing on a bench in the back of a coffee shop in Portland"" aria-describedby=""caption-attachment-8811"" class=""wp-image-8811 size-large"" height=""468"" loading=""lazy"" sizes=""(max-width: 622px) 100vw, 622px"" src=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-14-min-1024x770.jpg"" srcset=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-14-min-1024x770.jpg 1024w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-14-min-300x226.jpg 300w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-14-min-768x578.jpg 768w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-14-min-622x468.jpg 622w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-14-min.jpg 2048w"" width=""622""/></noscript></a><p class=""wp-caption-text"" id=""caption-attachment-8811""><strong>“Life would be tragic if it weren’t funny.” – Stephen Hawking</strong></p></div>
<div class=""author-quotes"">“Every child is an artist, the problem is staying an artist when you grow up.” <span class=""quote-author-name"">– Pablo Picasso</span></div>
<div class=""author-quotes"">“Have no fear of perfection, you’ll never reach it.” <span class=""quote-author-name"">– Salvador Dali</span></div>
<div class=""author-quotes"">“Life is not a problem to be solved, but a reality to be experienced.” <span class=""quote-author-name"">– Søren Kierkegaard</span></div>
<div class=""author-quotes"">“Curiosity about life in all of its aspects, I think, is still the secret of great creative people.” <span class=""quote-author-name"">– Leo Burnett</span></div>
<div class=""author-quotes"">“Imagination is the beginning of creation. You imagine what you desire, you will what you imagine, and at last, you create what you will.” <span class=""quote-author-name"">– George Bernard Shaw</span></div>
<div class=""wp-caption aligncenter"" id=""attachment_8812"" style=""width: 632px""><a href=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-15-min.jpg""><img alt=""A smiling brunette woman with red lipstick being herself and smiling"" aria-describedby=""caption-attachment-8812"" class=""lazy lazy-hidden wp-image-8812 size-large"" data-lazy-type=""image"" data-src=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-15-min-1024x770.jpg"" data-srcset=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-15-min-1024x770.jpg 1024w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-15-min-300x226.jpg 300w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-15-min-768x578.jpg 768w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-15-min-622x468.jpg 622w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-15-min.jpg 2048w"" height=""468"" loading=""lazy"" sizes=""(max-width: 622px) 100vw, 622px"" src=""//www.keepinspiring.me/wp-content/plugins/a3-lazy-load/assets/images/lazy_placeholder.gif"" srcset="""" width=""622""/><noscript><img alt=""A smiling brunette woman with red lipstick being herself and smiling"" aria-describedby=""caption-attachment-8812"" class=""wp-image-8812 size-large"" height=""468"" loading=""lazy"" sizes=""(max-width: 622px) 100vw, 622px"" src=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-15-min-1024x770.jpg"" srcset=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-15-min-1024x770.jpg 1024w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-15-min-300x226.jpg 300w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-15-min-768x578.jpg 768w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-15-min-622x468.jpg 622w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-15-min.jpg 2048w"" width=""622""/></noscript></a><p class=""wp-caption-text"" id=""caption-attachment-8812""><strong>“Be yourself; everyone else is already taken.” – Oscar Wilde</strong></p></div>
</div>","<span class=""quote-author-name"">– Pablo Picasso</span>"
"<div class=""author-quotes"">“Every child is an artist, the problem is staying an artist when you grow up.” <span class=""quote-author-name"">– Pablo Picasso</span></div>","<span class=""quote-author-name"">– Pablo Picasso</span>"
"<div class=""author-quotes"">“Have no fear of perfection, you’ll never reach it.” <span class=""quote-author-name"">– Salvador Dali</span></div>","<span class=""quote-author-name"">– Salvador Dali</span>"
"<div class=""author-quotes"">“Life is not a problem to be solved, but a reality to be experienced.” <span class=""quote-author-name"">– Søren Kierkegaard</span></div>","<span class=""quote-author-name"">– Søren Kierkegaard</span>"
"<div class=""author-quotes"">“Curiosity about life in all of its aspects, I think, is still the secret of great creative people.” <span class=""quote-author-name"">– Leo Burnett</span></div>","<span class=""quote-author-name"">– Leo Burnett</span>"
"<div class=""author-quotes"">“Imagination is the beginning of creation. You imagine what you desire, you will what you imagine, and at last, you create what you will.” <span class=""quote-author-name"">– George Bernard Shaw</span></div>","<span class=""quote-author-name"">– George Bernard Shaw</span>"
"<div class=""author-quotes"">“The journey of a thousand miles begins with one step.” <span class=""quote-author-name"">– Lao Tzu</span></div>","<span class=""quote-author-name"">– Lao Tzu</span>"
"<div class=""author-quotes"">“Imagination was given to man to compensate him for what he is not, and a sense of humor was provided to console him for what he is.” <span class=""quote-author-name"">– Oscar Wilde</span></div>","<span class=""quote-author-name"">– Oscar Wilde</span>"
"<div class=""author-quotes"">“What you do speaks so loudly that I cannot hear what you say.” <span class=""quote-author-name"">– Ralph Waldo Emerson</span></div>","<span class=""quote-author-name"">– Ralph Waldo Emerson</span>"
"<div class=""author-quotes"">“Spread love everywhere you go: first of all in your own house. Give love to your children, to your wife or husband, to a next door neighbor. Let no one ever come to you without leaving better and happier. Be the living expression of God’s kindness; kindness in your face, kindness in your eyes, kindness in your smile, kindness in your warm greeting.” <span class=""quote-author-name"">– Mother Theresa</span></div>","<span class=""quote-author-name"">– Mother Theresa</span>"
"<div class=""author-quotes"">
<div class=""wp-caption aligncenter"" id=""attachment_8813"" style=""width: 632px""><a href=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-16-min.jpg""><img alt=""A woman in a Missoni cardigan holding a lit sparkler on a snowy day"" aria-describedby=""caption-attachment-8813"" class=""lazy lazy-hidden wp-image-8813 size-large"" data-lazy-type=""image"" data-src=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-16-min-1024x770.jpg"" data-srcset=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-16-min-1024x770.jpg 1024w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-16-min-300x226.jpg 300w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-16-min-768x578.jpg 768w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-16-min-622x468.jpg 622w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-16-min.jpg 2048w"" height=""468"" loading=""lazy"" sizes=""(max-width: 622px) 100vw, 622px"" src=""//www.keepinspiring.me/wp-content/plugins/a3-lazy-load/assets/images/lazy_placeholder.gif"" srcset="""" width=""622""/><noscript><img alt=""A woman in a Missoni cardigan holding a lit sparkler on a snowy day"" aria-describedby=""caption-attachment-8813"" class=""wp-image-8813 size-large"" height=""468"" loading=""lazy"" sizes=""(max-width: 622px) 100vw, 622px"" src=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-16-min-1024x770.jpg"" srcset=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-16-min-1024x770.jpg 1024w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-16-min-300x226.jpg 300w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-16-min-768x578.jpg 768w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-16-min-622x468.jpg 622w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-16-min.jpg 2048w"" width=""622""/></noscript></a><p class=""wp-caption-text"" id=""caption-attachment-8813""><strong>“Be happy for this moment. This moment is your life.” – Omar Khayyam</strong></p></div>
<div class=""author-quotes"">“You must be the change you wish to see in the world.” <span class=""quote-author-name"">– Gandhi</span></div>
<div class=""author-quotes"">“Strive not to be a success, but rather to be of value.” <span class=""quote-author-name"">– Albert Einstein</span></div>
<div class=""author-quotes"">“Keep your face to the sunshine and you can never see the shadow.” <span class=""quote-author-name"">– Helen Keller</span></div>
<div class=""author-quotes"">“The best way out is always through.” <span class=""quote-author-name"">– Robern Frost</span></div>
<div class=""author-quotes"">“The dream crossed twilight between birth and dying.” <span class=""quote-author-name"">– T. S. Eliot</span></div>
<div>
<div class=""wp-caption aligncenter"" id=""attachment_8814"" style=""width: 632px""><a href=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-17-min.jpg""><img alt=""A smiling girl in red Rayban sunglasses with her hair blowing in the wind"" aria-describedby=""caption-attachment-8814"" class=""lazy lazy-hidden wp-image-8814 size-large"" data-lazy-type=""image"" data-src=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-17-min-1024x770.jpg"" data-srcset=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-17-min-1024x770.jpg 1024w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-17-min-300x226.jpg 300w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-17-min-768x578.jpg 768w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-17-min-622x468.jpg 622w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-17-min.jpg 2048w"" height=""468"" loading=""lazy"" sizes=""(max-width: 622px) 100vw, 622px"" src=""//www.keepinspiring.me/wp-content/plugins/a3-lazy-load/assets/images/lazy_placeholder.gif"" srcset="""" width=""622""/><noscript><img alt=""A smiling girl in red Rayban sunglasses with her hair blowing in the wind"" aria-describedby=""caption-attachment-8814"" class=""wp-image-8814 size-large"" height=""468"" loading=""lazy"" sizes=""(max-width: 622px) 100vw, 622px"" src=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-17-min-1024x770.jpg"" srcset=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-17-min-1024x770.jpg 1024w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-17-min-300x226.jpg 300w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-17-min-768x578.jpg 768w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-17-min-622x468.jpg 622w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-17-min.jpg 2048w"" width=""622""/></noscript></a><p class=""wp-caption-text"" id=""caption-attachment-8814""><strong>“People are just as happy as they make up their minds to be.” – Abraham Lincoln</strong></p></div>
</div>
<div class=""author-quotes"">“Don’t think. Thinking is the enemy of creativity. It’s self-conscious, and anything self-conscious is lousy. You can’t try to do things. You simply must do things.” <span class=""quote-author-name"">– Ray Bradbury</span></div>
<div class=""author-quotes"">“Creativity is just connecting things. When you ask creative people how they did something, they feel a little guilty because they didn’t really do it, the just saw something. It seemed obvious to them after a while.” <span class=""quote-author-name""><span class=""quote-author-name"">– Steve Jobs<br/>
</span></span><p></p>
<div class=""wp-caption aligncenter"" id=""attachment_8815"" style=""width: 632px""><a href=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-18-min.jpg""><img alt=""A couple dancing cheek to cheek at a party under a large crystal chandelier "" aria-describedby=""caption-attachment-8815"" class=""lazy lazy-hidden wp-image-8815 size-large"" data-lazy-type=""image"" data-src=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-18-min-1024x770.jpg"" data-srcset=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-18-min-1024x770.jpg 1024w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-18-min-300x226.jpg 300w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-18-min-768x578.jpg 768w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-18-min-622x468.jpg 622w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-18-min.jpg 2048w"" height=""468"" loading=""lazy"" sizes=""(max-width: 622px) 100vw, 622px"" src=""//www.keepinspiring.me/wp-content/plugins/a3-lazy-load/assets/images/lazy_placeholder.gif"" srcset="""" width=""622""/><noscript><img alt=""A couple dancing cheek to cheek at a party under a large crystal chandelier "" aria-describedby=""caption-attachment-8815"" class=""wp-image-8815 size-large"" height=""468"" loading=""lazy"" sizes=""(max-width: 622px) 100vw, 622px"" src=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-18-min-1024x770.jpg"" srcset=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-18-min-1024x770.jpg 1024w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-18-min-300x226.jpg 300w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-18-min-768x578.jpg 768w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-18-min-622x468.jpg 622w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-18-min.jpg 2048w"" width=""622""/></noscript></a><p class=""wp-caption-text"" id=""caption-attachment-8815""><strong>“Sing like no one’s listening, love like you’ve never been hurt, dance like nobody’s watching, and live like it’s heaven on earth.” – Mark Twain</strong></p></div>
</div>
<div class=""author-quotes"">“The power of imagination makes us infinite.” <span class=""quote-author-name"">– John Muir</span></div>
<div class=""author-quotes"">“Doing the best at this moment puts you in the best place for the next moment.” <span class=""quote-author-name"">– <a href=""https://www.keepinspiring.me/oprah-winfrey-quotes/"">Oprah Winfrey</a></span></div>
<div class=""author-quotes"">“Originality is nothing but judicious imitation.” <span class=""quote-author-name"">– Voltaire</span></div>
<div class=""author-quotes"">“Life is made of ever so many partings welded together.” <span class=""quote-author-name"">– Charles Dickens</span></div>
<div class=""wp-caption aligncenter"" id=""attachment_8816"" style=""width: 632px""><a href=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-19-min.jpg""><img alt=""A man and woman embracing as they watch the sun set over the hills in Utah"" aria-describedby=""caption-attachment-8816"" class=""lazy lazy-hidden wp-image-8816 size-large"" data-lazy-type=""image"" data-src=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-19-min-1024x770.jpg"" data-srcset=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-19-min-1024x770.jpg 1024w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-19-min-300x226.jpg 300w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-19-min-768x578.jpg 768w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-19-min-622x468.jpg 622w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-19-min.jpg 2048w"" height=""468"" loading=""lazy"" sizes=""(max-width: 622px) 100vw, 622px"" src=""//www.keepinspiring.me/wp-content/plugins/a3-lazy-load/assets/images/lazy_placeholder.gif"" srcset="""" width=""622""/><noscript><img alt=""A man and woman embracing as they watch the sun set over the hills in Utah"" aria-describedby=""caption-attachment-8816"" class=""wp-image-8816 size-large"" height=""468"" loading=""lazy"" sizes=""(max-width: 622px) 100vw, 622px"" src=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-19-min-1024x770.jpg"" srcset=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-19-min-1024x770.jpg 1024w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-19-min-300x226.jpg 300w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-19-min-768x578.jpg 768w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-19-min-622x468.jpg 622w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-19-min.jpg 2048w"" width=""622""/></noscript></a><p class=""wp-caption-text"" id=""caption-attachment-8816""><strong>“Love is like the wind, you can’t see it, but you can feel it.” – Nicholas Sparks</strong></p></div>
<p>We hope our list of famous quotes took you out of your funk! Feel free to share your favorite with your friends or in the comments below.</p>
</div>","<span class=""quote-author-name"">– Gandhi</span>"
"<div class=""author-quotes"">“You must be the change you wish to see in the world.” <span class=""quote-author-name"">– Gandhi</span></div>","<span class=""quote-author-name"">– Gandhi</span>"
"<div class=""author-quotes"">“Strive not to be a success, but rather to be of value.” <span class=""quote-author-name"">– Albert Einstein</span></div>","<span class=""quote-author-name"">– Albert Einstein</span>"
"<div class=""author-quotes"">“Keep your face to the sunshine and you can never see the shadow.” <span class=""quote-author-name"">– Helen Keller</span></div>","<span class=""quote-author-name"">– Helen Keller</span>"
"<div class=""author-quotes"">“The best way out is always through.” <span class=""quote-author-name"">– Robern Frost</span></div>","<span class=""quote-author-name"">– Robern Frost</span>"
"<div class=""author-quotes"">“The dream crossed twilight between birth and dying.” <span class=""quote-author-name"">– T. S. Eliot</span></div>","<span class=""quote-author-name"">– T. S. Eliot</span>"
"<div class=""author-quotes"">“Don’t think. Thinking is the enemy of creativity. It’s self-conscious, and anything self-conscious is lousy. You can’t try to do things. You simply must do things.” <span class=""quote-author-name"">– Ray Bradbury</span></div>","<span class=""quote-author-name"">– Ray Bradbury</span>"
"<div class=""author-quotes"">“Creativity is just connecting things. When you ask creative people how they did something, they feel a little guilty because they didn’t really do it, the just saw something. It seemed obvious to them after a while.” <span class=""quote-author-name""><span class=""quote-author-name"">– Steve Jobs<br/>
</span></span><p></p>
<div class=""wp-caption aligncenter"" id=""attachment_8815"" style=""width: 632px""><a href=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-18-min.jpg""><img alt=""A couple dancing cheek to cheek at a party under a large crystal chandelier "" aria-describedby=""caption-attachment-8815"" class=""lazy lazy-hidden wp-image-8815 size-large"" data-lazy-type=""image"" data-src=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-18-min-1024x770.jpg"" data-srcset=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-18-min-1024x770.jpg 1024w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-18-min-300x226.jpg 300w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-18-min-768x578.jpg 768w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-18-min-622x468.jpg 622w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-18-min.jpg 2048w"" height=""468"" loading=""lazy"" sizes=""(max-width: 622px) 100vw, 622px"" src=""//www.keepinspiring.me/wp-content/plugins/a3-lazy-load/assets/images/lazy_placeholder.gif"" srcset="""" width=""622""/><noscript><img alt=""A couple dancing cheek to cheek at a party under a large crystal chandelier "" aria-describedby=""caption-attachment-8815"" class=""wp-image-8815 size-large"" height=""468"" loading=""lazy"" sizes=""(max-width: 622px) 100vw, 622px"" src=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-18-min-1024x770.jpg"" srcset=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-18-min-1024x770.jpg 1024w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-18-min-300x226.jpg 300w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-18-min-768x578.jpg 768w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-18-min-622x468.jpg 622w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-18-min.jpg 2048w"" width=""622""/></noscript></a><p class=""wp-caption-text"" id=""caption-attachment-8815""><strong>“Sing like no one’s listening, love like you’ve never been hurt, dance like nobody’s watching, and live like it’s heaven on earth.” – Mark Twain</strong></p></div>
</div>","<span class=""quote-author-name""><span class=""quote-author-name"">– Steve Jobs<br/>
</span></span>"
"<div class=""author-quotes"">“The power of imagination makes us infinite.” <span class=""quote-author-name"">– John Muir</span></div>","<span class=""quote-author-name"">– John Muir</span>"
"<div class=""author-quotes"">“Doing the best at this moment puts you in the best place for the next moment.” <span class=""quote-author-name"">– <a href=""https://www.keepinspiring.me/oprah-winfrey-quotes/"">Oprah Winfrey</a></span></div>","<span class=""quote-author-name"">– <a href=""https://www.keepinspiring.me/oprah-winfrey-quotes/"">Oprah Winfrey</a></span>"
"<div class=""author-quotes"">“Originality is nothing but judicious imitation.” <span class=""quote-author-name"">– Voltaire</span></div>","<span class=""quote-author-name"">– Voltaire</span>"
"<div class=""author-quotes"">“Life is made of ever so many partings welded together.” <span class=""quote-author-name"">– Charles Dickens</span></div>","<span class=""quote-author-name"">– Charles Dickens</span>"
