,title,price,stars,reviews
56,"Motorola One Fusion+ (Twilight Blue, 128 GB)","₹17,499",4.4,"21,401 Ratings & 2,943 Reviews"
57,"Apple iPhone XR ((PRODUCT)RED, 64 GB)","₹45,999",4.6,"16,282 Ratings & 1,384 Reviews"
58,"Infinix S5 Pro (Forest Green, 64 GB)","₹11,499",4.4,"18,398 Ratings & 1,766 Reviews"
59,"Realme 5 Pro (Chroma White, 128 GB)","₹16,999",4.5,"73,467 Ratings & 7,283 Reviews"
60,"Realme 5 Pro (Chroma White, 64 GB)","₹14,999",4.5,"1,04,467 Ratings & 10,145 Reviews"
61,"Apple iPhone SE (Black, 128 GB)","₹40,999",4.5,"19,738 Ratings & 1,928 Reviews"
62,"Vivo Y91i (Fusion Black, 32 GB)","₹7,990",4.3,"26,294 Ratings & 1,828 Reviews"
63,"Vivo Y91i (Ocean Blue, 32 GB)","₹7,990",4.3,"26,294 Ratings & 1,828 Reviews"
64,"OPPO F11 Pro (Aurora Green, 64 GB)","₹16,890",4.4,"1,20,151 Ratings & 11,569 Reviews"
65,"OPPO F11 Pro (Thunder Black, 128 GB)","₹15,990",4.4,"1,20,151 Ratings & 11,569 Reviews"
66,"Apple iPhone SE (White, 128 GB)","₹40,999",4.5,"19,738 Ratings & 1,928 Reviews"
67,"Samsung Galaxy M31 (Ocean Blue, 128 GB)","₹19,301",4.4,"1,280 Ratings & 125 Reviews"
68,"OPPO A12 (Black, 32 GB)","₹9,990",4.3,"13,643 Ratings & 1,062 Reviews"
69,"Vivo Y11 (Mineral Blue, 32 GB)","₹9,990",4.3,"7,397 Ratings & 473 Reviews"
70,"Vivo Y11 (Agate Red, 32 GB)","₹9,990",4.3,"7,397 Ratings & 473 Reviews"
71,"OPPO Reno2 F (Lake Green, 128 GB)","₹21,990",4.4,"3,494 Ratings & 310 Reviews"
72,Nokia 105 SS,"₹1,228",4.3,"83,144 Ratings & 7,903 Reviews"
73,Nokia 105 SS,"₹1,237",4.3,"83,144 Ratings & 7,903 Reviews"
74,"Realme 5 Pro (Sparkling Blue, 64 GB)","₹14,999",4.5,"1,04,467 Ratings & 10,145 Reviews"
75,"Realme 5 Pro (Sparkling Blue, 128 GB)","₹16,999",4.5,"73,467 Ratings & 7,283 Reviews"
76,"OPPO A9 2020 (Marine Green, 128 GB)","₹15,990",4.3,"22,749 Ratings & 2,082 Reviews"
77,"OPPO A9 2020 (Space Purple, 128 GB)","₹15,990",4.3,"22,749 Ratings & 2,082 Reviews"
78,"Asus ROG Phone 3 (Black, 128 GB)","₹49,999",4.5,"1,607 Ratings & 367 Reviews"
79,"OPPO A5s (Black, 32 GB)","₹7,990",4.3,"13,430 Ratings & 1,030 Reviews"
80,Nokia 105 SS,"₹1,249",4.3,"83,144 Ratings & 7,903 Reviews"
81,"OPPO A5s (Red, 32 GB)","₹7,990",4.3,"13,430 Ratings & 1,030 Reviews"
82,Samsung Guru Music 2,"₹1,710",4.3,"1,44,745 Ratings & 14,608 Reviews"
83,"Apple iPhone SE (Red, 128 GB)","₹40,999",4.5,"19,738 Ratings & 1,928 Reviews"
84,Micromax X741,"₹1,199",4,"18,495 Ratings & 1,933 Reviews"
85,Micromax X741,"₹1,099",4,"18,495 Ratings & 1,933 Reviews"
86,"OPPO A5s (Blue, 32 GB)","₹13,990",4.3,"4,235 Ratings & 337 Reviews"
87,"Redmi Note 8 Pro (Shadow Black, 128 GB)","₹17,499",4.4,"66,102 Ratings & 5,603 Reviews"
88,"Redmi 8A Dual (Midnight Grey, 32 GB)","₹8,265",4.2,"5,551 Ratings & 435 Reviews"
89,"Realme 5 Pro (Crystal Green, 128 GB)","₹16,999",4.5,"73,467 Ratings & 7,283 Reviews"
90,"Realme 5 Pro (Crystal Green, 64 GB)","₹14,999",4.5,"1,04,467 Ratings & 10,145 Reviews"
91,"OPPO Reno2 F (Sky White, 128 GB)","₹21,990",4.4,"3,494 Ratings & 310 Reviews"
92,"Redmi Note 9 (Aqua Green, 128 GB)","₹15,175",4.4,"1,216 Ratings & 90 Reviews"
93,"Redmi Note 9 (Scarlet Red, 64 GB)","₹14,967",4.4,"1,216 Ratings & 90 Reviews"
