,title,price,stars,reviews,imglink
36,NEA N95/KN95 5-Layer Anti- Pollution  Anti- Virus Reus...,₹244,3.9,652,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
37,NEA N95 / KN95 FFP2 5 Layer Reusable Anti - Pollution ...,₹328,4.1,921,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
38,Swadesi Stuff N95 Multi Color Washable and Reusable CE...,₹399,4.6,47,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
39,Bildos disposable mask with nose pin and ultrasonic sea...,₹335,4.1,326,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
40,Swiggy C295-1005 Non woven White Mouth Nose Cover Anti-...,₹99,3.5,"1,104",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
41,Wildcraft HypaShield Supermask reusable outdoor protect...,₹799,4.2,"7,805",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
42,Asian washable reusable face masks for germ protection ...,₹125,3.8,"8,349",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
43,Attache N95 with Filter Face Mask Anti-Pollution & Ant...,₹149,4.2,122,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
44,Gleam N95 Face Mask Anti-Pollution & Anti Virus Breath...,₹349,4,41,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
45,Chhavi India 100 Surgical Mask,₹229,3.6,"3,381",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
46,Daiyamondo (PACK OF 100) Disposable 3 Ply Surgical Face...,₹225,3.6,797,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
47,Chhavi India 50 Surgical Mask With Melt Blown Fabric La...,₹149,3.4,"7,378",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
48,PHOUR HUB 100 Surgical Face Mask Anti Pollution 3 Ply...,₹259,3.7,"4,456",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
49,HSR Surgical Mask With Melt Blown Fabric Layer (Blue f...,₹199,4,26,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
50,Bildos disposable mask with nose pin and ultrasonic sea...,₹335,4.1,326,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
